player_code,tm_player_id,fpl_name,tm_name
495161,617018,Marko Stamenić,Marko Stamenic
500696,957224,Nectarios Triantis,Nectarios Triantis
500957,699980,Enis Destan,Enis Destan
504598,747153,Daniel Gore,Daniel Gore
509291,800176,André Trindade da Costa Neto,André
510362,606718,Toti António Gomes,Toti
510363,695454,Francisco Jorge Tomás Oliveira,Chiquinho
514315,743414,Lino da Cruz Sousa,Lino Sousa
513046,808509,Danilo dos Santos de Oliveira,Danilo
514613,827440,Zak Johnson,Zak Johnson
517178,758030,Elkan Baggott,Elkan Baggott
518467,709960,Marc Jurado Gomez,Marc Jurado
530335,817665,Pablo Felipe Pereira de Jesus,Pablo
546600,790669,Kayne van Oevelen,Kayne van Oevelen
547659,855279,Josh Powell,Josh Powell
518620,743598,Ângelo Gabriel Borges Damaceno,Angelos
549653,802997,Norman Bassette,Norman Bassette
550141,723835,Adrian Mazilu,Adrian Mazilu
551232,726701,Rodrigo Duarte Ribeiro,Rodrigo Ribeiro
551262,677382,Jahnoah Markelo,Jahnoah Markelo
553299,671108,Takai Kōta,Kota Takai
560441,891353,Luis Eduardo Soares da Silva,Cuiabano
560552,900195,Kevin Santos Lopes de Macedo,Kevin
564510,967948,Garang Kuol,Garang Kuol
571380,1005947,Luka Lynch,Luka Lynch
576323,982081,Oluwaseun Adewumi,Oluwaseun Adewumi
576756,765972,Zépiqueno Redmond,Zépiqueno Redmond
578512,908890,Miodrag Pivaš,Miodrag Pivas
537043,626888,Kaine Kesler Hayden,Kaine Kesler Hayden
611011,1088818,Joseph Johnson,Joe Johnson
587178,1043003,Yasin Özcan,Yasin Özcan
601975,717411,Yegor Yarmolyuk,Yegor Yarmolyuk
611134,1052439,Kendry Páez Andrade,Kendry Páez Andrade
613232,1041600,James Wilson,James Wilson
616221,1086258,João Victor de Souza Menezes,Souza
640108,1178393,Antoñito Cordero Campillo,Antonio Cordero
661800,1262696,Cathal McCarthy,Cathal McCarthy
684268,1231179,George Shepherd,George Shepherd
